N_MEASUREMENT,LATITUDE,LONGITUDE
1359,18.235,-58.91899999999998
1360,18.237,-58.91699999999997
1361,18.242,-58.91500000000002
1362,18.236,-58.92099999999999
1428,18.202,-58.88600000000002
1429,18.204,-58.88999999999999
1430,18.198,-58.898000000000025
1431,18.201,-58.894000000000005
1432,18.202,-58.894000000000005
1433,18.201,-58.89999999999998
1434,18.201,-58.90199999999999
1435,18.2,-58.90499999999997
1436,18.202,-58.90699999999998
1437,18.204,-58.90699999999998
1438,18.206,-58.91500000000002
1439,18.205,-58.91300000000001
1440,18.207,-58.91899999999998
1505,18.213,-59.05099999999999
1506,18.213,-59.04899999999998
1507,18.212,-59.047000000000025
1508,18.213,-59.04199999999997
1509,18.213,-59.041
1510,18.213,-59.04000000000002
1511,18.213,-59.03399999999999
1512,18.214,-59.031000000000006
1513,18.219,-59.031000000000006
1514,18.216,-59.035000000000025
1515,18.216,-59.02999999999997
1516,18.218,-59.03399999999999
1582,18.265,-59.094
1583,18.268,-59.09500000000003
1584,18.271,-59.08499999999998
1585,18.283,-59.09199999999999
1586,18.283,-59.096
1587,18.289,-59.07600000000002
1588,18.291,-59.084
1589,18.295,-59.08300000000003
1590,18.298,-59.07499999999999
1591,18.298,-59.07400000000001
1592,18.298,-59.072
1593,18.3,-59.07499999999999
1594,18.299,-59.06700000000001
1595,18.303,-59.06299999999999
1660,18.427,-59.170000000000016
1661,18.424,-59.16899999999998
1662,18.426,-59.16699999999997
1663,18.415,-59.17899999999997
1664,18.414,-59.18000000000001
1665,18.41,-59.185
1666,18.408,-59.185
1667,18.406,-59.19200000000001
1668,18.4,-59.197
1669,18.402,-59.196000000000026
1670,18.395,-59.202999999999975
1671,18.391,-59.21199999999999
1735,18.536,-59.368
1736,18.533,-59.37299999999999
1737,18.529,-59.37700000000001
1738,18.529,-59.37700000000001
1739,18.528,-59.38
1740,18.522,-59.387
1741,18.524,-59.387
1742,18.525,-59.38999999999999
1743,18.523,-59.394000000000005
1744,18.526,-59.39999999999998
1745,18.525,-59.40699999999998
1746,18.536,-59.41899999999998
1812,18.699,-59.565
1813,18.7,-59.565
1814,18.696,-59.56099999999998
1815,18.694,-59.56900000000002
1816,18.695,-59.557000000000016
1817,18.691,-59.553
1818,18.691,-59.55399999999997
1819,18.69,-59.55000000000001
1820,18.687,-59.547000000000025
1821,18.68,-59.54599999999999
1887,18.887,-59.65199999999999
1888,18.887,-59.649
1889,18.888,-59.65899999999999
1890,18.892,-59.66199999999998
1891,18.892,-59.67099999999999
1892,18.892,-59.673
1893,18.892,-59.678
1894,18.89,-59.69499999999999
1895,18.893,-59.68599999999998
1896,18.896,-59.697
1897,18.895,-59.704999999999984
1898,18.899,-59.70600000000002
1899,18.904,-59.714999999999975
1900,18.907,-59.72399999999999
1965,19.091,-59.769000000000005
1966,19.089,-59.77800000000002
1967,19.09,-59.774
1968,19.09,-59.773000000000025
1969,19.088,-59.77499999999998
1970,19.084,-59.77600000000001
1971,19.09,-59.781000000000006
1972,19.084,-59.779
1973,19.08,-59.781000000000006
1974,19.077,-59.783000000000015
1975,19.071,-59.785000000000025
2040,19.242,-59.757000000000005
2041,19.241,-59.75599999999997
2042,19.244,-59.75400000000002
2043,19.244,-59.75299999999999
2044,19.245,-59.75200000000001
2045,19.246,-59.75
2046,19.245,-59.75299999999999
2047,19.243,-59.74599999999998
2048,19.246,-59.74599999999998
2049,19.247,-59.74400000000003
2050,19.244,-59.73700000000002
2051,19.245,-59.738999999999976
2052,19.243,-59.74099999999999
2118,19.324,-59.601999999999975
2119,19.336,-59.601999999999975
2120,19.338,-59.601999999999975
2121,19.336,-59.59500000000003
2122,19.343,-59.59199999999999
2123,19.346,-59.59500000000003
2124,19.348,-59.59699999999998
2125,19.352,-59.59500000000003
2126,19.356,-59.59100000000001
2127,19.354,-59.59199999999999
2128,19.358,-59.589999999999975
2129,19.36,-59.58600000000001
2130,19.363,-59.58300000000003
2196,19.409,-59.411
2197,19.416,-59.408000000000015
2198,19.416,-59.40899999999999
2199,19.431,-59.40699999999998
2200,19.43,-59.40100000000001
2201,19.436,-59.40100000000001
2202,19.446,-59.394000000000005
2203,19.449,-59.398000000000025
2204,19.452,-59.399
2205,19.451,-59.39499999999998
2206,19.459,-59.38900000000001
2207,19.466,-59.39499999999998
2208,19.471,-59.39699999999999
2272,19.438,-59.160000000000025
2273,19.437,-59.156000000000006
2274,19.444,-59.158000000000015
2275,19.441,-59.15699999999998
2276,19.444,-59.15300000000002
2277,19.443,-59.14999999999998
2278,19.45,-59.154
2279,19.449,-59.148000000000025
2280,19.45,-59.148000000000025
2281,19.451,-59.14499999999998
2282,19.451,-59.14499999999998
2283,19.452,-59.146000000000015
2284,19.454,-59.14299999999997
2285,19.456,-59.13900000000001
2286,19.454,-59.14100000000002
2351,19.371,-58.86900000000003
2352,19.371,-58.86900000000003
2353,19.379,-58.87299999999999
2354,19.371,-58.870000000000005
2355,19.374,-58.870000000000005
2356,19.376,-58.86900000000003
2357,19.376,-58.868
2358,19.381,-58.87099999999998
2359,19.377,-58.868
2360,19.377,-58.868
2361,19.376,-58.863999999999976
2362,19.378,-58.86599999999999
2363,19.376,-58.868
2428,19.234,-58.557000000000016
2429,19.233,-58.56
2430,19.229,-58.56099999999998
2431,19.224,-58.56099999999998
2432,19.227,-58.56400000000002
2433,19.225,-58.565
2434,19.225,-58.56900000000002
2435,19.222,-58.56200000000001
2436,19.224,-58.56400000000002
2437,19.222,-58.56299999999999
2438,19.223,-58.559000000000026
2439,19.224,-58.56299999999999
2440,19.225,-58.56900000000002
2505,19.118,-58.297000000000025
2506,19.115,-58.29599999999999
2507,19.113,-58.30099999999999
2508,19.11,-58.303
2509,19.107,-58.307000000000016
2510,19.107,-58.31299999999999
2511,19.101,-58.31400000000002
2512,19.103,-58.321000000000026
2513,19.098,-58.32299999999998
2514,19.099,-58.32499999999999
2515,19.091,-58.329999999999984
2516,19.083,-58.33300000000003
2517,19.075,-58.339
2583,18.983,-58.11900000000003
2584,18.981,-58.12799999999999
2585,18.983,-58.13799999999998
2586,18.981,-58.14299999999997
2587,18.983,-58.149
2588,18.982,-58.14699999999999
2589,18.982,-58.15499999999997
2590,18.982,-58.161
2591,18.982,-58.170000000000016
2592,18.984,-58.16899999999998
2593,18.983,-58.17700000000002
2594,18.985,-58.18900000000002
2660,18.927,-58.00999999999999
2661,18.928,-58.012
2662,18.92,-58.023000000000025
2663,18.92,-58.02499999999998
2664,18.919,-58.02600000000001
2665,18.918,-58.031000000000006
2666,18.916,-58.04000000000002
2667,18.914,-58.048
2668,18.914,-58.05000000000001
2669,18.913,-58.06200000000001
2670,18.911,-58.067999999999984
2671,18.914,-58.079999999999984
2736,18.88,-57.90899999999999
2737,18.884,-57.920000000000016
2738,18.884,-57.91899999999998
2739,18.89,-57.94200000000001
2740,18.89,-57.94400000000002
2741,18.89,-57.94799999999998
2742,18.896,-57.96199999999999
2743,18.897,-57.96699999999999
2744,18.901,-57.97199999999998
2745,18.904,-57.98200000000003
2746,18.908,-57.99599999999998
2811,18.933,-57.84899999999999
2812,18.936,-57.856
2813,18.945,-57.868
2814,18.942,-57.863999999999976
2815,18.948,-57.870000000000005
2816,18.948,-57.875999999999976
2817,18.953,-57.87900000000002
2818,18.961,-57.887
2819,18.96,-57.89499999999998
2820,18.964,-57.90100000000001
2821,18.963,-57.90100000000001
2822,18.968,-57.911
2823,18.971,-57.91399999999999
2824,18.971,-57.918000000000006
2825,18.98,-57.92599999999999
2890,18.98,-57.81700000000001
2891,18.98,-57.827999999999975
2892,18.992,-57.832
2893,18.984,-57.844
2894,18.986,-57.84800000000001
2895,18.987,-57.856
2896,18.986,-57.86200000000002
2897,18.993,-57.870000000000005
2898,18.993,-57.872000000000014
2899,18.995,-57.88499999999999
2900,19.003,-57.896000000000015
2901,19.002,-57.90699999999998
2966,19.014,-57.76999999999998
2967,19.014,-57.785000000000025
2968,19.014,-57.798
2969,19.015,-57.79000000000002
2970,19.013,-57.79399999999998
2971,19.006,-57.79899999999998
2972,19.022,-57.80500000000001
2973,19.022,-57.80399999999997
2974,19.027,-57.80399999999997
2975,19.029,-57.80799999999999
2976,19.031,-57.81099999999998
2977,19.031,-57.81200000000001
2978,19.035,-57.815
3043,19.023,-57.69499999999999
3044,19.024,-57.69499999999999
3045,19.023,-57.69799999999998
3046,19.03,-57.70100000000002
3047,19.032,-57.702999999999975
3048,19.032,-57.70400000000001
3049,19.036,-57.70999999999998
3050,19.036,-57.71199999999999
3051,19.038,-57.71300000000002
3052,19.039,-57.714999999999975
3053,19.041,-57.71699999999999
3118,18.966,-57.58100000000002
3119,18.964,-57.58499999999998
3120,18.959,-57.594
3121,18.951,-57.61700000000002
3122,18.947,-57.62099999999998
3123,18.945,-57.62400000000002
3124,18.943,-57.63799999999998
3125,18.942,-57.63900000000001
3126,18.933,-57.64999999999998
3127,18.93,-57.65199999999999
3128,18.926,-57.66399999999999
3129,18.923,-57.672000000000025
3194,18.764,-57.358
3195,18.762,-57.363999999999976
3196,18.764,-57.368
3197,18.761,-57.37700000000001
3198,18.76,-57.37700000000001
3199,18.759,-57.375999999999976
3200,18.758,-57.38600000000002
3201,18.756,-57.38600000000002
3202,18.757,-57.38999999999999
3203,18.755,-57.394000000000005
3204,18.752,-57.398000000000025
3205,18.752,-57.398000000000025
3270,18.612,-57.08100000000002
3271,18.606,-57.08300000000003
3272,18.608,-57.08300000000003
3273,18.605,-57.084
3274,18.604,-57.084
3275,18.603,-57.08499999999998
3276,18.603,-57.08300000000003
3277,18.599,-57.08600000000001
3278,18.596,-57.08699999999999
3279,18.592,-57.08600000000001
3280,18.589,-57.089999999999975
3346,18.535,-56.899
3347,18.525,-56.90199999999999
3348,18.529,-56.90899999999999
3349,18.525,-56.911
3350,18.52,-56.916
3351,18.52,-56.918000000000006
3352,18.516,-56.92500000000001
3353,18.508,-56.923
3354,18.505,-56.92700000000002
3355,18.504,-56.94
3356,18.498,-56.94200000000001
3357,18.498,-56.95400000000001
3422,18.534,-56.839999999999975
3423,18.544,-56.84199999999999
3424,18.541,-56.85899999999998
3425,18.544,-56.86900000000003
3426,18.553,-56.87099999999998
3427,18.555,-56.872000000000014
3428,18.561,-56.884000000000015
3429,18.563,-56.882000000000005
3430,18.565,-56.88099999999997
3431,18.567,-56.88099999999997
3432,18.569,-56.882000000000005
3433,18.571,-56.88499999999999
3497,18.726,-56.85899999999998
3498,18.745,-56.86500000000001
3499,18.739,-56.86500000000001
3500,18.741,-56.872000000000014
3501,18.74,-56.87299999999999
3502,18.745,-56.88099999999997
3503,18.748,-56.882000000000005
3504,18.747,-56.88
3505,18.749,-56.88900000000001
3506,18.747,-56.89499999999998
3507,18.753,-56.896000000000015
3508,18.755,-56.89499999999998
3573,18.958,-57.0
3574,18.956,-57.0
3575,18.954,-57.009000000000015
3576,18.955,-57.007000000000005
3577,18.956,-57.01499999999999
3578,18.955,-57.01400000000001
3579,18.953,-57.021000000000015
3580,18.947,-57.02699999999999
3581,18.951,-57.02600000000001
3582,18.951,-57.03199999999998
3583,18.948,-57.02800000000002
3584,18.952,-57.043000000000006
3649,19.22,-57.23000000000002
3650,19.227,-57.23700000000002
3651,19.227,-57.24400000000003
3652,19.225,-57.250999999999976
3653,19.222,-57.259000000000015
3654,19.222,-57.26400000000001
3655,19.221,-57.26499999999999
3656,19.222,-57.269000000000005
3657,19.217,-57.279
3658,19.215,-57.281000000000006
3659,19.212,-57.283000000000015
3660,19.21,-57.298
3661,19.207,-57.31200000000001
3727,19.417,-57.51299999999998
3728,19.41,-57.51600000000002
3729,19.405,-57.51600000000002
3730,19.404,-57.521000000000015
3731,19.402,-57.52499999999998
3732,19.402,-57.52999999999997
3733,19.405,-57.536
3734,19.402,-57.54199999999997
3735,19.401,-57.54399999999998
3736,19.401,-57.54899999999998
3737,19.4,-57.55000000000001
3738,19.402,-57.55599999999998
3739,19.397,-57.56599999999997
3804,19.65,-57.767
3805,19.642,-57.77199999999999
3806,19.644,-57.771000000000015
3807,19.638,-57.77699999999999
3808,19.634,-57.781000000000006
3809,19.634,-57.781000000000006
3810,19.634,-57.785000000000025
3811,19.632,-57.78699999999998
3812,19.631,-57.78899999999999
3813,19.631,-57.791
3814,19.633,-57.797000000000025
3815,19.642,-57.803
3919,19.84,-58.293000000000006
3920,19.84,-58.29000000000002
3921,19.843,-58.297000000000025
3922,19.844,-58.29599999999999
3923,19.844,-58.29899999999998
3924,19.845,-58.297000000000025
3925,19.85,-58.30099999999999
3926,19.85,-58.29899999999998
3927,19.853,-58.30000000000001
3928,19.854,-58.30200000000002
3929,19.855,-58.30500000000001
3930,19.858,-58.31200000000001
4035,19.984,-58.743
4036,19.983,-58.73700000000002
4037,19.984,-58.738
4038,19.981,-58.735000000000014
4039,19.981,-58.731
4040,19.979,-58.731
4041,19.978,-58.726999999999975
4042,19.974,-58.72300000000001
4043,19.976,-58.726
4044,19.965,-58.72399999999999
4045,19.957,-58.72199999999998
4046,19.956,-58.71699999999999
4047,19.944,-58.71600000000001
4150,20.056,-59.15699999999998
4151,20.061,-59.16699999999997
4152,20.065,-59.168000000000006
4153,20.063,-59.16399999999999
4154,20.069,-59.170000000000016
4155,20.072,-59.17099999999999
4156,20.076,-59.17700000000002
4157,20.076,-59.17399999999998
4158,20.079,-59.17500000000001
4159,20.083,-59.18099999999998
4160,20.086,-59.18700000000001
4161,20.086,-59.185
4162,20.092,-59.19
4163,20.102,-59.19799999999998
4268,20.336,-59.56200000000001
4269,20.334,-59.572
4270,20.334,-59.57499999999999
4271,20.333,-59.58100000000002
4272,20.332,-59.582
4273,20.332,-59.59199999999999
4274,20.331,-59.59100000000001
4275,20.328,-59.589999999999975
4276,20.331,-59.601999999999975
4277,20.331,-59.60399999999999
4278,20.331,-59.613
4279,20.328,-59.613999999999976
4280,20.331,-59.62299999999999
4385,20.577,-59.95800000000003
4386,20.579,-59.96100000000001
4387,20.569,-59.96100000000001
4388,20.578,-59.964
4389,20.575,-59.95999999999998
4390,20.575,-59.971
4391,20.579,-59.98000000000002
4392,20.576,-59.97300000000001
4393,20.569,-59.981
4394,20.57,-59.97500000000002
4395,20.572,-59.97399999999999
4396,20.571,-59.985000000000014
4397,20.57,-59.98200000000003
4398,20.571,-59.988999999999976
4503,20.856,-60.13600000000002
4504,20.851,-60.12900000000002
4505,20.851,-60.13799999999998
4506,20.852,-60.13900000000001
4507,20.854,-60.14499999999998
4508,20.853,-60.14100000000002
4509,20.853,-60.146000000000015
4510,20.854,-60.14299999999997
4511,20.857,-60.144000000000005
4512,20.859,-60.144000000000005
4513,20.861,-60.148000000000025
4514,20.864,-60.14499999999998
4515,20.871,-60.149
4620,21.064,-60.16500000000002
4621,21.064,-60.16399999999999
4622,21.064,-60.161
4623,21.066,-60.16699999999997
4624,21.067,-60.17099999999999
4625,21.068,-60.17399999999998
4626,21.067,-60.17399999999998
4627,21.07,-60.18099999999998
4628,21.071,-60.19099999999997
4629,21.076,-60.19400000000002
4630,21.076,-60.19400000000002
4631,21.074,-60.19900000000001
4632,21.076,-60.20800000000003
4633,21.078,-60.21600000000001
4738,21.17,-60.14699999999999
4739,21.184,-60.15699999999998
4740,21.181,-60.15699999999998
4741,21.185,-60.15499999999997
4742,21.188,-60.15499999999997
4743,21.195,-60.15699999999998
4744,21.198,-60.158000000000015
4745,21.201,-60.15699999999998
4746,21.208,-60.158000000000015
4747,21.207,-60.15899999999999
4748,21.215,-60.160000000000025
4749,21.218,-60.16500000000002
4854,20.893,-59.80799999999999
4855,20.9,-59.80500000000001
4856,20.895,-59.81
4857,20.896,-59.81
4858,20.896,-59.815
4859,20.899,-59.81999999999999
4860,20.9,-59.822
4861,20.903,-59.827999999999975
4862,20.904,-59.82400000000001
4863,20.907,-59.832
4864,20.912,-59.83499999999998
4865,20.917,-59.839
4970,20.459,-59.524
4971,20.462,-59.52699999999999
4972,20.462,-59.52600000000001
4973,20.465,-59.529
4974,20.466,-59.52999999999997
4975,20.472,-59.53199999999998
4976,20.472,-59.531000000000006
4977,20.476,-59.531000000000006
4978,20.48,-59.53399999999999
4979,20.482,-59.535000000000025
4980,20.485,-59.53800000000001
4981,20.49,-59.54199999999997
5086,20.241,-59.368
5087,20.239,-59.36900000000003
5088,20.241,-59.363
5089,20.242,-59.37799999999999
5090,20.241,-59.37799999999999
5091,20.243,-59.38299999999998
5092,20.242,-59.38299999999998
5093,20.246,-59.39100000000002
5094,20.245,-59.39100000000002
5095,20.246,-59.39299999999997
5096,20.248,-59.396000000000015
5097,20.25,-59.404
5202,20.104,-59.481
5203,20.106,-59.47800000000001
5204,20.113,-59.47399999999999
5205,20.12,-59.481
5206,20.114,-59.47500000000002
5207,20.117,-59.47000000000003
5208,20.118,-59.47500000000002
5209,20.124,-59.471
5210,20.123,-59.47500000000002
5211,20.127,-59.47000000000003
5212,20.132,-59.476999999999975
5317,19.918,-59.791
5318,19.925,-59.793000000000006
5319,19.917,-59.79599999999999
5320,19.913,-59.79199999999997
5321,19.911,-59.798
5322,19.912,-59.79399999999998
5323,19.907,-59.80000000000001
5324,19.911,-59.803
5325,19.908,-59.80200000000002
5326,19.906,-59.80599999999998
5327,19.906,-59.81099999999998
5328,19.908,-59.80599999999998
5329,19.911,-59.80399999999997
5434,19.442,-60.262
5435,19.445,-60.262
5436,19.439,-60.27199999999999
5437,19.443,-60.267
5438,19.441,-60.271000000000015
5439,19.442,-60.271000000000015
5440,19.436,-60.28199999999998
5441,19.448,-60.27999999999997
5442,19.45,-60.28800000000001
5443,19.452,-60.27999999999997
5444,19.454,-60.28399999999999
5445,19.459,-60.28699999999998
5446,19.455,-60.28699999999998
5447,19.458,-60.29399999999998
5552,18.993,-60.557000000000016
5553,18.997,-60.55000000000001
5554,18.99,-60.54899999999998
5555,18.996,-60.55500000000001
5556,18.995,-60.55399999999997
5557,18.996,-60.547000000000025
5558,18.997,-60.547000000000025
5559,18.997,-60.54199999999997
5560,18.997,-60.53800000000001
5561,18.997,-60.54000000000002
5562,18.996,-60.53199999999998
5563,18.995,-60.535000000000025
5564,18.996,-60.52800000000002
5565,18.994,-60.521000000000015
5669,18.544,-60.557000000000016
5670,18.55,-60.55799999999999
5671,18.55,-60.56
5672,18.552,-60.56
5673,18.556,-60.56999999999999
5674,18.557,-60.567999999999984
5675,18.558,-60.567999999999984
5676,18.561,-60.56900000000002
5677,18.568,-60.57400000000001
5678,18.57,-60.57600000000002
5679,18.573,-60.577999999999975
5680,18.585,-60.58100000000002
5786,18.315,-60.50400000000002
5787,18.318,-60.505
5788,18.315,-60.512
5789,18.322,-60.51499999999999
5790,18.322,-60.51400000000001
5791,18.325,-60.51499999999999
5792,18.327,-60.51400000000001
5793,18.333,-60.51999999999998
5794,18.335,-60.51799999999997
5795,18.335,-60.517
5796,18.338,-60.51400000000001
5797,18.341,-60.51600000000002
5798,18.336,-60.52199999999999
5903,18.353,-60.43599999999998
5904,18.351,-60.43700000000001
5905,18.35,-60.435
5906,18.352,-60.434000000000026
5907,18.35,-60.434000000000026
5908,18.347,-60.434000000000026
5909,18.348,-60.43000000000001
5910,18.345,-60.428
5911,18.34,-60.42500000000001
5912,18.341,-60.42700000000002
5913,18.335,-60.41899999999998
5914,18.329,-60.422000000000025
5915,18.325,-60.42500000000001
6020,18.394,-60.41699999999997
6021,18.392,-60.41399999999999
6022,18.387,-60.41399999999999
6023,18.381,-60.411
6024,18.381,-60.41199999999998
6025,18.377,-60.408000000000015
6026,18.369,-60.40499999999997
6027,18.372,-60.408000000000015
6028,18.369,-60.406000000000006
6029,18.367,-60.40699999999998
6030,18.365,-60.41199999999998
6031,18.365,-60.411
6032,18.359,-60.40899999999999
6033,18.358,-60.41899999999998
6137,18.331,-60.96300000000002
6138,18.33,-60.96699999999999
6139,18.337,-60.97500000000002
6140,18.336,-60.976
6141,18.335,-60.97800000000001
6142,18.332,-60.976999999999975
6143,18.338,-60.988
6144,18.332,-60.985000000000014
6145,18.339,-60.997000000000014
6146,18.338,-60.995000000000005
6147,18.34,-61.00599999999997
6148,18.343,-61.00799999999998
6149,18.338,-61.00599999999997
6150,18.339,-61.012
6255,18.364,-61.15899999999999
6256,18.367,-61.158000000000015
6257,18.363,-61.160000000000025
6258,18.36,-61.16199999999998
6259,18.36,-61.16500000000002
6260,18.36,-61.170000000000016
6261,18.36,-61.173
6262,18.36,-61.173
6263,18.361,-61.17599999999999
6264,18.363,-61.17700000000002
6265,18.358,-61.17500000000001
6266,18.353,-61.178
6372,17.981,-61.285000000000025
6373,17.978,-61.286
6374,17.983,-61.29399999999998
6375,17.983,-61.295000000000016
6376,17.984,-61.293000000000006
6377,17.986,-61.29399999999998
6378,17.986,-61.30200000000002
6379,17.986,-61.29899999999998
6380,17.984,-61.30000000000001
6381,17.985,-61.303
6382,17.983,-61.30099999999999
6383,17.982,-61.30000000000001
6384,17.977,-61.30500000000001
6489,17.554,-61.44499999999999
6490,17.549,-61.44400000000002
6491,17.53,-61.44999999999999
6492,17.525,-61.457
6493,17.522,-61.464999999999975
6494,17.519,-61.47199999999998
6495,17.52,-61.47000000000003
6496,17.518,-61.47300000000001
6497,17.52,-61.476999999999975
6498,17.521,-61.47899999999999
6499,17.521,-61.476999999999975
6500,17.52,-61.47899999999999
6501,17.521,-61.47899999999999
6598,16.779,-61.821000000000026
6599,16.781,-61.846
6600,16.778,-61.84800000000001
