N_MEASUREMENT,LATITUDE,LONGITUDE,PRES,TEMP,PSAL
348,,,863.0,6.886,34.88
349,,,638.0,10.547,35.358
350,,,563.0,12.132,35.593
351,,,346.0,16.961,36.372
352,,,316.0,17.595,36.474
353,,,206.0,19.79,36.752
354,,,176.0,21.652,37.062
355,,,85.0,25.724,37.251
356,,,56.0,26.649,37.065
357,,,6.0,28.581,35.607
358,,,3.0,28.576,35.609
359,,,,,
360,,,,,
361,,,,,
362,19.652,-59.72300000000001,,,
363,19.656,-59.716999999999985,,,
364,19.642,-59.71600000000001,,,
365,19.641,-59.72800000000001,,,
366,19.646,-59.716999999999985,,,
367,19.644,-59.702,,,
368,19.645,-59.706999999999994,,,
369,19.642,-59.70999999999998,,,
370,19.642,-59.71199999999999,,,
371,19.645,-59.706999999999994,,,
372,19.645,-59.702999999999975,,,
373,19.647,-59.69499999999999,,,
374,19.647,-59.68900000000002,,,
375,19.651,-59.68900000000002,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,20.0,,
381,,,590.0,,
382,,,,,
383,,,626.0,11.01,35.433
384,,,631.0,10.851,35.409
385,,,633.0,10.906,35.416
386,,,632.0,10.95,35.42
387,,,634.0,10.995,35.428
388,,,641.0,10.621,35.372
389,,,638.0,10.901,35.415
390,,,642.0,10.662,35.378
391,,,645.0,10.56,35.366
392,,,643.0,10.555,35.367
393,,,649.0,10.382,35.336
394,,,589.0,11.816,35.545
395,,,568.0,12.119,35.589
396,,,565.0,12.157,35.595
397,,,564.0,12.207,35.608
398,,,565.0,12.047,35.583
399,,,565.0,12.064,35.589
400,,,568.0,11.992,35.573
401,,,570.0,12.049,35.58
402,,,573.0,12.095,35.585
403,,,567.0,12.245,35.609
404,,,567.0,12.104,35.591
405,,,574.0,11.965,35.566
406,,,576.0,11.981,35.57
407,,,571.0,11.958,35.567
408,,,573.0,11.944,35.564
409,,,573.0,12.14,35.594
410,,,,,
411,,,562.0,,
412,,,652.0,,
413,,,597.85187,11.528741,35.50548
414,,,1990.0,,
415,,,,,
416,,,,,
417,,,1980.0,,
418,,,1990.0,,
419,,,1985.0,3.698,34.974
420,,,1985.0,3.698,34.974
421,,,1863.0,3.885,34.981
422,,,1638.0,4.264,34.996
423,,,1513.0,4.546,35.009
424,,,1288.0,5.224,34.999
425,,,1163.0,5.571,34.959
426,,,988.0,5.872,34.829
427,,,863.0,6.745,34.854
428,,,638.0,10.615,35.37
429,,,513.0,12.982,35.725
430,,,345.0,16.729,36.325
431,,,275.0,18.327,36.598
432,,,206.0,20.038,36.8
433,,,136.0,24.413,37.265
434,,,86.0,25.817,37.06
435,,,15.0,28.644,35.393
436,,,6.0,28.733,34.236
437,,,,,
438,,,,,
439,,,,,
440,19.469,-59.747000000000014,,,
441,19.467,-59.75,,,
442,19.477,-59.750999999999976,,,
443,19.473,-59.752999999999986,,,
444,19.475,-59.75200000000001,,,
445,19.481,-59.752999999999986,,,
446,19.484,-59.75799999999998,,,
447,19.487,-59.75799999999998,,,
448,19.495,-59.75799999999998,,,
449,19.501,-59.757000000000005,,,
450,19.508,-59.757000000000005,,,
451,,,,,
452,,,,,
453,,,,,
454,,,,,
455,,,10.0,,
456,,,610.0,,
457,,,,,
458,,,587.0,11.362,35.48
459,,,579.0,11.847,35.554
460,,,570.0,12.0,35.57
461,,,636.0,10.842,35.399
462,,,547.0,12.449,35.65
463,,,606.0,11.502,35.496
464,,,611.0,11.497,35.5
465,,,605.0,11.483,35.501
466,,,613.0,10.844,35.403
467,,,625.0,10.993,35.42
468,,,617.0,11.139,35.444
469,,,615.0,11.017,35.428
470,,,613.0,11.181,35.454
471,,,631.0,10.619,35.362
472,,,624.0,10.858,35.408
473,,,623.0,10.95,35.411
474,,,627.0,10.825,35.393
475,,,629.0,10.715,35.38
476,,,629.0,10.606,35.365
477,,,650.0,9.861,35.239
478,,,605.0,11.4,35.495
479,,,571.0,11.824,35.547
480,,,578.0,11.844,35.548
481,,,563.0,12.051,35.582
482,,,560.0,12.238,35.608
483,,,556.0,12.251,35.612
484,,,556.0,12.222,35.608
485,,,,,
486,,,488.0,,
487,,,661.0,,
488,,,600.96295,11.348889,35.476185
489,,,1980.0,,
490,,,,,
491,,,,,
492,,,1970.0,,
493,,,1980.0,,
494,,,1983.0,3.731,34.977
495,,,1983.0,3.731,34.977
496,,,1863.0,3.901,34.982
497,,,1638.0,4.235,34.997
498,,,1514.0,4.579,35.013
499,,,1288.0,5.273,35.0
500,,,1163.0,5.612,34.956
501,,,988.0,5.913,34.82
502,,,863.0,6.554,34.828
503,,,638.0,10.267,35.3
504,,,514.0,12.975,35.722
505,,,345.0,16.784,36.338
506,,,276.0,18.507,36.609
507,,,205.0,20.289,36.829
508,,,135.0,24.09,37.203
509,,,85.0,25.687,37.087
510,,,15.0,28.751,35.113
511,,,6.0,28.762,34.343
512,,,,,
513,,,,,
514,,,,,
515,19.395,-59.83800000000002,,,
516,19.394,-59.829999999999984,,,
517,19.395,-59.827999999999975,,,
518,19.404,-59.82600000000002,,,
519,19.404,-59.82600000000002,,,
520,19.407,-59.82400000000001,,,
521,19.419,-59.815999999999974,,,
522,19.418,-59.815999999999974,,,
523,19.427,-59.81099999999998,,,
524,19.434,-59.80500000000001,,,
525,19.441,-59.80500000000001,,,
526,,,,,
527,,,,,
528,,,,,
529,,,,,
530,,,10.0,,
531,,,630.0,,
532,,,,,
533,,,577.0,11.929,35.565
534,,,574.0,11.951,35.567
535,,,576.0,11.825,35.548
536,,,582.0,11.719,35.529
537,,,586.0,11.65,35.521
538,,,583.0,11.73,35.534
539,,,583.0,11.528,35.503
540,,,592.0,11.426,35.485
541,,,591.0,11.435,35.489
542,,,589.0,11.684,35.526
543,,,593.0,11.539,35.503
544,,,592.0,11.44,35.49
545,,,589.0,11.588,35.513
546,,,592.0,11.508,35.5
547,,,591.0,11.559,35.51
548,,,596.0,11.456,35.491
549,,,587.0,11.568,35.509
550,,,597.0,11.281,35.461
551,,,600.0,11.146,35.445
552,,,607.0,10.963,35.41
553,,,604.0,11.066,35.437
554,,,610.0,10.842,35.394
555,,,611.0,11.111,35.435
556,,,608.0,11.205,35.451
557,,,605.0,11.22,35.456
558,,,598.0,11.38,35.483
559,,,609.0,11.08,35.429
560,,,,,
561,,,571.0,,
562,,,617.0,,
563,,,593.4074,11.438111,35.488297
564,,,2000.0,,
565,,,,,
566,,,,,
567,,,1980.0,,
568,,,2000.0,,
569,,,2003.0,3.627,34.974
570,,,2003.0,3.627,34.974
571,,,1838.0,3.887,34.982
572,,,1663.0,4.225,34.997
573,,,1488.0,4.64,35.016
574,,,1313.0,5.204,35.007
575,,,1138.0,5.566,34.923
576,,,1013.0,5.782,34.839
577,,,838.0,6.701,34.829
578,,,663.0,9.387,35.159
579,,,488.0,13.539,35.804
580,,,363.0,16.418,36.283
581,,,265.0,18.751,36.649
582,,,215.0,19.937,36.772
583,,,126.0,24.303,37.211
584,,,76.0,25.988,37.032
585,,,10.0,28.921,34.311
586,,,5.0,28.926,34.311
587,,,,,
